Country,Year,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Control of Corruption: Percentile Rank,"Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index,High-technology exports (% of manufactured exports),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Research and development expenditure (% of GDP),Rule of Law: Estimate,"School enrollment, primary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Voice and Accountability: Estimate
Afghanistan,2000,4.4,0.054812515,4.787233829,0.004827601,1.852781994,3521418060,0,180.1883694,0,0,0,0,55.298,0,92,27.44185609,20.97091936,64.76727982,-2.438968897,1.443803024,19542982,0,-2.080252647,45,0,-1.780660748,22.16299057,0,7.955,22.078,-2.031417131
Afghanistan,2001,9.3,0.050196479,0,0.024168568,1.852781994,2813571754,-9.431974068,142.9033644,0,0,0.00472257,0,55.798,0,89.3,27.47358023,20.98234866,64.59757272,0,0.742516834,19688632,0,0,45.6,0,0,22.90859032,0,7.958,22.169,0
Afghanistan,2002,14.1,0.046328007,4.761904716,1.30694987,1.852781994,3825701439,28.60000116,182.1740382,0,0,0.0045614,0,56.454,0,86.6,29.67486273,22.54133877,64.41688801,-2.035033703,6.449321478,21000256,0,-1.81154573,37.8,0,-1.673473239,75.95974731,0,7.939,22.261,-1.433421016
Afghanistan,2003,19,0.04675619,4.761904716,1.278493252,1.852781994,4520946819,8.832277803,199.6432265,0,0,0.0878913,0,57.344,0,83.7,31.87558916,24.10033283,64.17623142,-2.198372364,7.541018965,22645130,0,-1.463107824,36.7,0,-1.5582937,96.55368042,0,7.922,22.353,-1.177571177
Afghanistan,2004,23.8,0.039875091,6.403940678,3.577104201,1.852781994,5224896719,1.414117993,221.8305307,0,0,0.105809,0,57.944,0,80.9,34.09443129,25.66623994,63.82660868,-2.295682192,3.933177688,23553551,0,-1.511548996,44.2,0,-1.693925261,106.2526627,0,7.914,22.5,-1.203033924
Afghanistan,2005,28.7,0.054638874,1.463414669,4.368673104,1.852781994,6203256539,11.22971483,254.115276,0,0,1.22415,12.68626872,58.361,0,78,36.33122612,27.23918874,63.31902553,-2.06750989,3.576508004,24411191,0,-1.643440247,33.9,0,-1.662965536,100.2296906,0,7.914,22.703,-1.12542963
Afghanistan,2006,33.5,0.05806718,1.951219559,3.413772973,1.852781994,6971758282,5.357403247,274.0153923,0,0,2.10712,6.78459655,58.684,0,75.1,38.56711933,28.81226623,61.51464943,-2.219134569,4.139678035,25442944,0,-1.689468622,31.9,0,-1.879004836,103.9322433,0,7.918,22.907,-1.110293984
Afghanistan,2007,38.4,0.079665522,0.970873773,1.935701714,1.852781994,9747886187,13.82631955,376.3182996,0,0,1.9,8.680570785,59.111,0,72.3,41.0836739,30.46653361,58.08378502,-2.41337347,1.793195727,25903301,0,-1.708872318,28.8,0,-1.852560043,101.0864563,0,7.908,23.113,-1.057653904
Afghanistan,2008,42.4,0.15247927,0.485436887,0.455360445,1.852781994,10109297048,3.92498382,382.5338072,0,0,1.84,26.41866415,59.852,0,69.6,43.63260872,32.12870461,54.19114381,-2.69136095,2.002333262,26427199,0,-1.607166886,21.2,0,-1.903307557,103.4139633,0,7.92,23.32,-1.168901801
Afghanistan,2009,48.3,0.236856939,0.95693779,0.451889146,1.852781994,12416152732,21.39052839,453.3873851,0,0,3.55,-6.811161089,60.364,0,67,46.21376265,33.79895774,51.00143731,-2.71142149,3.561288374,27385307,0,-1.664507627,16.5,0,-1.876118779,99.36972046,0,7.914,23.528,-1.375495195
Afghanistan,2010,42.7,0.286853284,0.952380955,1.20311799,1.852781994,15856668556,14.36244147,562.4992216,0,0,4,2.178537524,60.851,0,64.6,48.82696852,35.47747099,49.67937703,-2.579151869,2.894904104,28189672,0,-1.516528249,15.2,0,-1.87005806,102.9034424,0,7.914,23.737,-1.404467344
Afghanistan,2011,43.2,0.403450944,0.473933637,0.29302518,1.852781994,17805098206,0.426354777,608.7388504,0,0,5,11.80418581,61.419,31,62.3,51.47237647,37.16457222,61.81705591,-2.502059698,3.689508302,29249157,0,-1.536323905,12.6,0,-1.922500134,100.2902985,0,7.916,23.948,-1.335976958
Afghanistan,2012,69.1,0.334026128,1.421800971,0.285440894,1.852781994,19907329778,12.75228709,653.4174749,0,0,5.45455,6.441212809,61.923,0,60.1,54.14949164,38.86030503,70.92231651,-2.418561459,4.077627729,30466479,0,-1.192579746,15.4,0,-1.651893139,106.2834015,0,7.909,24.16,-1.267430067
Afghanistan,2013,68,0.275547459,0.947867274,0.239801184,1.852781994,20146416758,5.600744659,638.733181,0,0,5.9,7.385771784,62.417,0,58.1,56.85814159,40.56485238,73.1318159,-2.519349098,3.466788304,31541209,0,-1.1930902,16.9,0,-1.609111547,107.6959763,0,7.919,24.373,-1.240068436
Afghanistan,2014,89.5,0.25307638,5.288461685,0.209664795,1.852781994,20497128556,2.724543362,626.5129291,0,0,7,4.673996035,62.545,0,56.2,59.59815817,42.27840265,77.14372755,-2.411068439,3.657576065,32716210,0,-1.124133706,19.1,0,-1.437044501,109.1155167,0,7.915,24.587,-1.135439992
Afghanistan,2015,71.5,0.258331736,5.714285851,0.884000463,1.852781994,19134221645,1.451314661,566.8811297,0,0,8.26,-0.661709165,62.659,33.7538414,54.6,62.36965956,44.00130864,73.49081763,-2.56262517,3.121341229,33753499,0,-1.018826246,17.7,0,-1.515202641,106.1824188,0,9.011,24.803,-1.117556691
Afghanistan,2016,97.7,0.229161929,3.809523821,0.516606085,1.852781994,18116572395,2.260314203,523.053012,0,0,11,4.383891955,63.136,0,53,65.17216226,45.73360216,72.76591014,-2.662156105,2.581549399,34636207,0,-1.339695096,20.2,0,-1.520713925,106.1502838,0,10.1,25.02,-1.037788033
Afghanistan,2017,97.7,0.239789012,3.809523821,0.274796792,1.852781994,18753456498,2.647003203,526.140801,0,0,13.5,4.975951506,63.016,0,51.5,68.00887159,47.4776158,65.862347,-2.794973612,2.866492148,35643418,0,-1.369762778,19.5,0,-1.583736897,106.1299973,0,11.184,25.25,-0.990814269
Afghanistan,2018,93.4,0.221575704,4.761904716,0.661572218,1.852781994,18053222687,1.189228129,492.090631,0,0,16.8,0.626149149,63.081,0,50.1,70.87994089,49.23414442,67.22717748,-2.753262043,2.885207973,36686784,0,-1.138203621,18.3,0,-1.688586712,107.7805328,0,11.206,25.495,-1.007052064
Afghanistan,2019,97.7,0.197193508,5.714285851,0.124495985,1.852781994,18799444490,3.911603416,497.7414313,0,0,17.6,2.302372515,63.565,0,48.8,73.784643,51.00348109,58.33087223,-2.652406931,2.908529093,37769499,0,-1.113777995,18.9,0,-1.741318822,110.0075073,0,11.224,25.754,-1.006574869
Afghanistan,2020,97.7,0.140322994,4.761904716,0.064993957,1.852781994,19955929052,-2.351100672,512.055098,0,0,18.4,0,62.575,0,47.4,76.7222554,52.64900094,46.08709367,-2.702631712,3.134746908,38972230,0,-1.389163017,18.2,0,-1.831374288,0,46.70989455,11.71,26.026,-1.077688575
Afghanistan,2021,97.7,0.140630316,12.38095284,0.144401085,1.852781994,14266499430,-20.73883937,355.7778264,0,0,0,0,61.982,37,46.1,79.69307846,54.29858974,0,-2.518530369,2.851357654,40099462,0,-1.311682105,20,0,-1.87635684,0,51.41171637,11.934,26.314,-1.567889929
Afghanistan,2022,85.3,0.13800072,12.26415062,0,0,14502158192,-6.240171992,352.6037331,0,0,0,0,62.879,0,44.8,82.17537112,55.95194129,0,-2.550801754,2.534498317,41128771,0,-1.27180624,20,0,-1.658442259,0,72.88546961,14.1,26.616,-1.751587272
Afghanistan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665628202,42239854,0,0,0,0,0,0,0,14.386,26.933,0
Bhutan,2000,31.2,0.719678069,71.27659607,0,65.47738693,460733418.4,3.355068305,784.6184027,0,0,0.400944,4.012120811,62.01,0,58.4,82.36160234,46.90494201,32.57384036,0.491936684,2.800570184,587207,0,-0.428554446,91.4,0,0.130426154,80.78762817,74.02649711,1.652,25.418,-1.112356544
